timestamp,commit,branch,benchmark,low_ns,estimate_ns,high_ns
2026-03-27T23:03:24Z,a02b2e6,main,compress_stereo_1s,927950.0000,962920.0000,1006100.0000
2026-03-27T23:03:24Z,a02b2e6,main,normalize_stereo_1s,8086.8000,8296.0000,8520.0000
2026-03-27T23:03:24Z,a02b2e6,main,biquad_lp_stereo_1s,267570.0000,275290.0000,284980.0000
2026-03-27T23:03:24Z,a02b2e6,main,parametric_eq_3band_stereo_1s,824930.0000,851660.0000,882340.0000
2026-03-27T23:03:24Z,a02b2e6,main,parametric_eq_10band_stereo_1s,2539400.0000,2560700.0000,2590700.0000
2026-03-27T23:03:24Z,a02b2e6,main,compressor_stereo_1s,1084400.0000,1157400.0000,1237100.0000
2026-03-27T23:03:24Z,a02b2e6,main,reverb_stereo_1s,931230.0000,966620.0000,1011600.0000
2026-03-27T23:03:24Z,a02b2e6,main,panner_stereo_1s,24282.0000,24342.0000,24409.0000
2026-03-27T23:03:24Z,a02b2e6,main,limiter_stereo_1s,612690.0000,614410.0000,617030.0000
2026-03-27T23:03:24Z,a02b2e6,main,mix_2_stereo_1s,18535.0000,18562.0000,18594.0000
2026-03-27T23:03:24Z,a02b2e6,main,mix_8_stereo_1s,68034.0000,68655.0000,69291.0000
2026-03-27T23:03:24Z,a02b2e6,main,resample_linear_44100_48000_mono_1s,346940.0000,347670.0000,348440.0000
2026-03-27T23:03:24Z,a02b2e6,main,resample_linear_48000_44100_stereo_1s,390300.0000,390880.0000,391580.0000
2026-03-27T23:03:24Z,a02b2e6,main,resample_sinc_draft_stereo_1s,9498500.0000,9520200.0000,9544200.0000
2026-03-27T23:03:24Z,a02b2e6,main,resample_sinc_good_stereo_1s,34970000.0000,35043000.0000,35125000.0000
2026-03-27T23:03:24Z,a02b2e6,main,resample_sinc_best_stereo_1s,135180000.0000,135330000.0000,135510000.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_apply_gain_stereo_1s,3729.1000,3797.0000,3873.5000
2026-03-27T23:03:24Z,a02b2e6,main,simd_clamp_stereo_1s,4165.4000,4188.1000,4207.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_peak_stereo_1s,2933.3000,2938.9000,2945.1000
2026-03-27T23:03:24Z,a02b2e6,main,simd_rms_stereo_1s,16086.0000,16115.0000,16150.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_mix_2_stereo_1s,18452.0000,18564.0000,18664.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_noise_gate_stereo_1s,9290.7000,9359.9000,9426.5000
2026-03-27T23:03:24Z,a02b2e6,main,simd_i16_to_f32_stereo_1s,32479.0000,32534.0000,32593.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_f32_to_i16_stereo_1s,34510.0000,34636.0000,34791.0000
2026-03-27T23:03:24Z,a02b2e6,main,simd_sinc_resample_good_stereo_1s,35005000.0000,35075000.0000,35163000.0000
2026-03-29T05:09:34Z,0d29b15,main,fft_4096_mono,397440.0000,405200.0000,415510.0000
2026-03-29T05:09:34Z,0d29b15,main,dft_4096_mono,125370000.0000,125670000.0000,125990000.0000
2026-03-29T05:09:34Z,0d29b15,main,stft_2048_512_mono_1s,13898000.0000,14556000.0000,15267000.0000
2026-03-29T05:09:34Z,0d29b15,main,r128_stereo_1s,469400.0000,471020.0000,472890.0000
2026-03-29T05:09:34Z,0d29b15,main,dynamics_mono_1s,370870.0000,371430.0000,372180.0000
2026-03-29T05:09:34Z,0d29b15,main,chromagram_4096_mono,399770.0000,401040.0000,402710.0000
2026-03-29T05:09:34Z,0d29b15,main,onset_2048_512_mono_1s,19292000.0000,19306000.0000,19320000.0000
2026-03-29T05:09:34Z,0d29b15,main,i16_f32_roundtrip_stereo_1s,36789.0000,36968.0000,37114.0000
2026-03-29T05:09:34Z,0d29b15,main,interleaved_to_planar_stereo_1s,221130.0000,221610.0000,222260.0000
2026-03-29T05:09:34Z,0d29b15,main,mono_to_stereo_1s,64066.0000,64180.0000,64308.0000
2026-03-29T05:09:34Z,0d29b15,main,stereo_to_mono_1s,49652.0000,49755.0000,49854.0000
2026-03-29T05:09:34Z,0d29b15,main,noise_gate_stereo_1s,6165.0000,6181.1000,6198.3000
2026-03-29T05:09:34Z,0d29b15,main,compress_stereo_1s,777990.0000,782820.0000,788400.0000
